Event Action	Total Events	Unique Events	Event Value	Avg. Value
http://dbpedia.org/resource/Bahrain	25	19	"929,655,887,093,620,736"	"37,186,235,483,744,832.00"
http://dbpedia.org/resource/Bing_%28search_engine%29	25	12	"2,807,155,996,608,454,656"	"112,286,239,864,338,192.00"
http://dbpedia.org/resource/Cloud_computing	25	21	"848,674,742,638,526,464"	"33,946,989,705,541,060.00"
http://dbpedia.org/resource/Escherichia_coli	25	14	"119,688,739,671,912,432"	"4,787,549,586,876,497.00"
http://dbpedia.org/resource/Leeteuk	25	9	"3,216,652,036,258,205,696"	"128,666,081,450,328,224.00"
http://dbpedia.org/resource/Mobile,_Alabama"	25	22	"751,294,951,032,025,088"	"30,051,798,041,281,004.00"
http://dbpedia.org/resource/Website	25	16	"1,868,644,634,261,991,424"	"74,745,785,370,479,664.00"
http://dbpedia.org/resource/Mexico	24	19	"219,231,954,053,382,112"	"9,134,664,752,224,254.00"
http://dbpedia.org/resource/Microsoft_Windows	24	24	"1,076,949,167,086,186,496"	"44,872,881,961,924,440.00"
http://dbpedia.org/resource/Tenerife	24	7	"216,073,238,525,263,840"	"9,003,051,605,219,327.00"
http://dbpedia.org/resource/Freelancer	23	4	"2,935,265,350,774,603,776"	"127,620,232,642,374,080.00"
http://dbpedia.org/resource/Justin_Bieber	23	14	"1,890,869,381,574,033,408"	"82,211,712,242,349,280.00"
http://dbpedia.org/resource/Time	23	19	"1,334,719,609,166,049,280"	"58,031,287,355,045,624.00"
http://dbpedia.org/resource/White_House	23	22	"805,625,433,789,870,080"	"35,027,192,773,472,612.00"
http://dbpedia.org/resource/Brazil	22	15	"420,649,056,114,077,696"	"19,120,411,641,548,988.00"
http://dbpedia.org/resource/British_Grand_Prix	22	1	"47,244,640,234"	"2,147,483,647.00"
http://dbpedia.org/resource/CNN	22	17	"825,190,952,888,872,960"	"37,508,679,676,766,952.00"
http://dbpedia.org/resource/Espanya_(Barcelona_Metro)	22	12	"1,259,940,081,412,317,184"	"57,270,003,700,559,872.00"
http://dbpedia.org/resource/Florence	22	17	"381,644,160,878,804,992"	"17,347,461,858,127,500.00"
http://dbpedia.org/resource/Hizb_ut-Tahrir	22	6	"1,879,948,356,703,776,768"	"85,452,198,031,989,856.00"
http://dbpedia.org/resource/IBM	22	20	"1,002,878,194,548,932,608"	"45,585,372,479,496,936.00"
http://dbpedia.org/resource/Italy	22	20	"708,933,018,702,348,288"	"32,224,228,122,834,012.00"
http://dbpedia.org/resource/Middle_East	22	19	"646,186,893,289,775,104"	"29,372,131,513,171,596.00"
http://dbpedia.org/resource/Open_source	22	21	"847,378,729,772,449,792"	"38,517,214,989,656,808.00"
http://dbpedia.org/resource/Rupert_Murdoch	22	16	"577,855,722,386,939,904"	"26,266,169,199,406,360.00"
http://dbpedia.org/resource/Samsung_Galaxy_Tab	22	8	"119,767,533,430,644,720"	"5,443,978,792,302,033.00"
http://dbpedia.org/resource/Seattle	22	20	"1,240,676,195,529,863,168"	"56,394,372,524,084,688.00"
