# ----------------------------------------
# Facebook Swarm NLP
# Pages
# 20110301-20111108
# ----------------------------------------

Page	Pageviews	Unique Pageviews	Avg. Time on Page	Bounce Rate	% Exit
/users/1050660351	136	99	00:09:56	0.00%	8.82%
/users/100002151203442	135	94	00:08:18	0.00%	28.89%
/users/vincentwong97	135	76	00:01:02	0.00%	2.96%
/users/chinita.mmaza	133	117	00:07:45	0.00%	21.05%
/users/oaabidi	133	106	00:11:51	0.00%	44.36%
/users/100001064200580	132	110	00:06:11	0.00%	21.97%
/users/1187041134	132	100	00:04:42	0.00%	3.79%
/users/100002147271495	132	106	00:04:15	0.00%	7.58%
/users/100000912105785	129	89	00:09:43	0.00%	34.11%
/users/stefano.dibenedetto2	129	116	00:04:13	0.00%	43.41%
/users/100001642263116	128	117	00:00:53	0.00%	0.78%
/users/rojackanakCemen	128	111	00:04:58	0.00%	29.69%
/users/Tomayac	128	110	00:38:21	0.00%	42.97%
/users/100001599900674	127	114	00:00:44	0.00%	0.00%
/users/100002502080805	127	87	00:05:12	0.00%	34.65%
/users/1673787073	125	116	00:13:12	0.00%	40.80%
/users/100001544422405	124	123	00:01:24	0.00%	0.81%
/users/100001615951701	124	105	00:00:50	0.00%	0.00%
/users/100001207485053	123	102	00:08:25	0.00%	52.85%
/users/100001865123540	123	62	00:22:53	0.00%	23.58%
/users/1617663406	122	71	00:06:24	0.00%	21.31%
/users/chathura.wijenayake	122	105	00:07:50	0.00%	36.89%
/users/100002407604552	120	54	00:04:24	0.00%	17.50%
/users/filosofiadoequilibrio	118	97	00:15:02	0.00%	43.22%
/users/100001563376036	118	112	00:00:45	0.00%	0.00%
/users/100002380996659	118	108	00:00:49	0.00%	0.00%
/users/100001144817278	116	103	00:12:12	0.00%	19.83%
/users/100001432646612	116	39	00:01:05	0.00%	0.86%
/users/abojaber92	116	79	00:01:11	0.00%	4.31%
/users/100002023485322	115	61	00:03:34	0.00%	14.78%
/users/100002915343799	113	69	00:03:43	0.00%	14.16%
/users/nela.245	112	64	00:07:53	0.00%	10.71%
/users/haresh.reshma1	111	71	00:04:47	0.00%	11.71%
/users/jackpriva	111	60	00:09:11	0.00%	17.12%
/users/100002888154561	111	70	00:04:29	0.00%	18.02%
/users/drina.cortes	110	102	00:09:25	0.00%	53.64%
/users/rosebismanos	109	92	00:06:36	0.00%	7.34%
/users/trine.storgaard	107	75	00:08:11	0.00%	28.97%
/users/805012767	106	86	00:08:33	0.00%	15.09%
/users/1000741407	105	84	00:02:30	0.00%	5.71%
/users/salemNLP	105	75	00:03:52	0.00%	12.38%
/users/1250394442	104	85	00:07:45	0.00%	27.88%
/users/samir.samoray	104	58	00:03:23	0.00%	10.58%
/users/100000774410978	103	72	00:04:28	0.00%	29.13%
/users/100002497597103	103	89	00:04:13	0.00%	5.83%
/users/TKH9423	102	73	00:17:14	0.00%	45.10%
/users/hhr.sunil	101	83	00:02:45	0.00%	10.89%
/users/100001481447085	100	75	00:00:29	0.00%	4.00%
/users/allam.kettaneh	99	87	00:01:32	0.00%	3.03%
/users/100001687935887	99	48	00:08:03	0.00%	12.12%
/users/100000690459831	98	55	00:04:56	0.00%	6.12%
/users/vintagejay	98	85	00:30:45	0.00%	58.16%
/users/lfcipriani	97	92	00:03:03	0.00%	41.24%
